Date/Time :,2020/12/16 @ 02:59:50 PM,2020/12/17 @ 03:07:58 PM,2020/12/18 @ 02:59:02 PM,2020/12/19 @ 03:07:32 PM,2020/12/20 @ 02:58:37 PM,2020/12/21 @ 03:06:01 PM,2020/12/22 @ 02:58:03 PM,2020/12/23 @ 03:06:55 PM
Survey Type :,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS
X Units :,Meters,Meters,Meters,Meters,Meters,Meters,Meters,Meters
Y Units :,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius
Calibrated Depth Interval :,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Distance Average :,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Average :,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59
Asset :,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5
Probe Name :,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5
Distance (m),Temp(C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C)

999.375,123.585,123.567,124.204,123.633,123.541,123.646,123.801,124.563
999.875,123.710,123.723,124.517,123.570,123.603,123.583,124.051,124.751
1000.406,123.429,123.536,124.423,123.508,123.447,123.489,123.833,124.407
1000.906,123.335,123.411,124.142,123.258,123.416,123.489,123.833,124.313
1001.438,123.397,123.536,124.142,123.258,123.478,123.614,123.833,124.407
1001.938,123.647,123.630,124.267,123.320,123.509,123.677,123.770,124.469
1002.438,123.710,123.630,124.298,123.570,123.541,123.708,123.708,124.501
1002.969,123.460,123.536,124.361,123.570,123.541,123.677,123.958,124.407
1003.469,123.647,123.630,124.298,123.351,123.634,123.521,124.020,124.344
1003.969,123.647,123.473,124.236,123.258,123.447,123.552,123.864,124.376
1004.500,123.647,123.567,124.204,123.351,123.509,123.458,123.864,124.407
1005.000,123.460,123.442,123.892,123.383,123.509,123.427,123.833,124.438
1005.500,123.272,123.442,123.923,123.258,123.384,123.552,123.926,124.344
1006.031,123.460,123.505,124.142,123.351,123.384,123.614,123.895,124.438
1006.531,123.366,123.317,124.142,123.351,123.322,123.427,123.739,124.282
1007.031,123.304,123.411,124.048,123.195,123.197,123.333,123.583,124.313
1007.563,123.429,123.442,124.048,123.226,123.353,123.396,123.708,124.313
1008.063,123.491,123.505,124.361,123.476,123.384,123.677,123.926,124.376
1008.563,123.679,123.567,124.392,123.508,123.728,123.708,123.958,124.501
1009.094,123.522,123.411,124.079,123.445,123.478,123.396,123.708,124.251
1009.594,123.429,123.317,124.079,123.039,123.228,123.396,123.583,124.313
1010.094,123.147,123.348,123.829,123.039,123.228,123.427,123.739,124.157
1010.625,123.147,123.348,123.829,122.914,123.228,123.396,123.583,124.126
1011.125,123.304,123.348,123.892,123.008,123.228,123.302,123.583,124.157
1011.625,123.429,123.442,123.954,123.383,123.416,123.396,123.864,124.219
1012.156,123.304,123.442,124.048,123.383,123.197,123.239,123.739,124.282
1012.656,123.366,123.473,124.267,123.320,123.259,123.427,123.583,124.126
1013.156,123.585,123.567,124.173,123.414,123.478,123.614,123.770,124.344
1013.688,123.772,123.817,124.236,123.601,123.603,123.802,124.083,124.438
1014.188,123.585,123.786,124.361,123.601,123.634,123.739,123.895,124.469
1014.688,123.772,123.973,124.392,123.664,123.728,123.708,124.020,124.719
1015.219,123.897,123.911,124.392,123.851,123.853,123.927,124.208,124.907
1015.719,123.616,123.817,124.204,123.726,123.697,123.833,124.239,124.626
1016.219,123.491,123.411,124.048,123.445,123.509,123.677,123.801,124.407
1016.750,123.491,123.380,123.954,123.195,123.384,123.396,123.708,124.407
1017.250,123.522,123.223,123.954,123.133,123.259,123.208,123.458,124.188
1017.750,123.116,123.223,123.923,123.133,123.228,123.208,123.520,124.063
1018.281,122.991,123.192,123.736,123.039,122.947,123.021,123.458,124.001
1018.781,123.022,122.942,123.673,122.883,122.916,123.021,123.458,123.938
1019.281,123.022,123.067,123.486,122.820,122.853,123.146,123.426,123.938
1019.813,122.897,122.973,123.486,122.976,123.072,123.114,123.364,124.063
1020.313,122.897,123.005,123.642,122.883,123.103,123.146,123.426,124.157
1020.813,123.335,123.192,123.923,123.039,123.166,123.427,123.520,124.157
1021.344,123.179,123.192,123.861,123.070,123.166,123.364,123.583,124.094
1021.844,123.054,123.005,123.611,122.914,123.103,123.114,123.489,123.969
1022.375,123.022,122.973,123.736,122.945,123.009,123.177,123.426,124.063
1022.875,123.272,123.098,123.861,123.195,123.103,123.239,123.551,124.126
1023.375,123.116,123.036,123.892,123.101,123.103,123.146,123.426,124.126
1023.906,123.116,123.036,123.892,123.008,123.166,123.052,123.301,124.188
1024.406,123.147,123.286,124.079,123.164,123.259,123.208,123.739,124.188
1024.906,123.366,123.223,123.954,123.226,123.259,123.208,123.801,124.251
1025.438,123.522,123.505,124.267,123.633,123.509,123.614,123.770,124.344
1025.938,123.679,123.630,124.423,123.726,123.697,123.739,124.020,124.407
1026.438,123.397,123.223,124.111,123.289,123.322,123.458,123.739,124.157
1026.969,123.085,123.130,123.829,122.976,123.009,123.271,123.614,123.969
1027.469,123.397,123.411,124.079,123.226,123.384,123.614,123.645,124.376
1027.969,123.554,123.598,124.236,123.539,123.634,123.739,123.864,124.688
1028.500,123.585,123.567,124.236,123.633,123.509,123.614,123.958,124.563
1029.000,123.397,123.473,123.954,123.414,123.353,123.427,123.645,124.188
