Date/Time :,2018/12/06 @ 03:08:06 PM,2018/12/07 @ 03:15:05 PM,2018/12/08 @ 02:54:44 PM,2018/12/09 @ 03:01:52 PM,2018/12/10 @ 03:08:19 PM,2018/12/11 @ 03:15:13 PM,2018/12/12 @ 02:53:47 PM
Survey Type :,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS
X Units :,Meters,Meters,Meters,Meters,Meters,Meters,Meters
Y Units :,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius
Calibrated Depth Interval :,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Distance Average :,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Average :,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59
Asset :,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2
Probe Name :,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2
Distance (m),Temp(C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C)

1170.462,163.766,164.754,168.202,175.261,200.650,248.655,
1170.962,163.454,164.691,168.202,175.105,200.150,247.873,
1171.462,163.298,164.691,168.202,174.730,200.744,248.342,
1171.994,163.266,164.879,168.171,175.136,202.306,249.686,
1172.494,163.516,164.972,168.265,174.855,203.400,248.373,
1173.025,163.485,165.191,168.452,175.074,200.775,248.311,
1173.525,163.735,164.941,168.171,175.293,198.431,247.905,
1174.025,163.829,164.941,168.421,174.886,201.306,247.623,
1174.556,164.485,165.597,168.702,175.230,200.025,248.155,
1175.056,165.548,166.347,169.234,175.855,199.963,248.686,
1175.556,165.954,166.347,169.234,175.636,199.838,247.780,
1176.087,165.423,166.066,168.765,175.355,200.275,247.780,
1176.587,164.141,165.160,168.015,175.230,200.931,249.342,
1177.087,163.266,164.410,167.859,175.261,201.556,250.061,
1177.619,163.016,164.316,167.859,175.449,199.681,247.998,
1178.119,163.016,164.316,168.109,175.449,199.588,248.217,
1178.619,162.766,164.254,168.109,175.105,200.119,248.155,
1179.150,162.548,163.972,167.765,174.980,200.431,248.280,
1179.650,162.735,164.254,167.890,175.761,201.744,247.998,
1180.150,163.110,164.285,168.577,177.074,203.744,250.342,
1180.681,163.485,164.722,169.359,178.355,203.119,250.217,
1181.181,163.798,165.191,169.671,179.105,204.494,251.936,
1181.681,163.985,165.129,169.327,177.980,204.525,251.155,
1182.212,163.673,164.535,168.390,176.543,204.556,249.936,
1182.712,163.048,164.160,167.796,175.574,201.963,247.936,
1183.212,162.579,163.910,167.921,175.574,201.806,248.436,
1183.744,162.579,164.035,168.046,175.980,201.244,248.686,
1184.244,162.798,164.004,168.046,176.136,202.744,248.686,
1184.744,162.735,163.910,168.327,176.386,203.494,250.092,
1185.275,162.798,164.035,168.577,176.730,204.494,249.280,
1185.775,162.891,164.504,168.702,177.199,204.088,248.592,
1186.275,162.985,164.410,168.734,177.511,204.119,250.123,
1186.806,162.954,164.004,168.702,177.949,202.556,249.217,
1187.306,162.610,163.847,168.546,177.730,202.431,249.905,
1187.806,162.079,163.535,168.484,176.886,201.556,249.467,
1188.337,162.110,163.379,167.827,175.730,202.713,248.748,
1188.837,162.141,163.347,167.577,174.886,203.556,249.248,
1189.337,162.048,163.660,167.515,174.730,201.619,247.842,
1189.869,161.985,163.535,167.671,175.074,202.056,246.530,
1190.369,162.298,163.754,168.140,176.011,204.119,247.623,
1190.869,162.923,164.191,168.827,176.824,205.525,249.311,
1191.400,163.891,165.066,169.421,177.855,204.431,250.061,
1191.900,164.235,165.410,169.671,178.386,204.525,250.373,
1192.400,163.923,164.754,169.952,178.918,204.744,250.905,
1192.931,163.204,164.285,169.921,178.793,204.213,249.561,
1193.431,162.516,163.816,168.827,177.730,203.713,249.030,
1193.962,161.829,163.535,167.671,175.918,203.744,248.967,
1194.462,161.860,163.347,167.296,175.011,201.869,248.217,
